凹凹 嗷嗷
肿么 怎么
海龟 海归
鸭梨山大 压力山大
北鼻 宝宝|小孩
胖纸 胖子
感快 感觉
随著 随着
嗨 爽
漏母 老母
刷纷 刷分
编 遍
训教 睡觉
为么 为什么
翻学 上学
缩 说
& 和
颠3倒4 颠三倒四
+ 加
额 我
冒 没|长
对吾住 对不住|对不起
7 妻
期待以久 期待已久
6 了
5 武|我|呜|不
4 死|四
GG 哥哥
代号 对号
冇 没有
9 就
8 不|发
PO主 博主
喵 猫
磷诗 淋湿
唱K 唱歌
睹塞 堵塞
司考 司法考试
米国 美国
外米 外面
桑呐 桑拿
DE 的
拉轰 拉风
几 好
耐味 讨厌
乎吸 呼吸
越光 月光
死马 怎么
肚仔 肚子
杨白老 杨白劳
灰机 飞机
特马 他妈
亚力山大 压力山大
为勒 为了
筒子们 同志们
臭P 臭屁
傻B 傻逼
淫们 人们
冒得 没有
知 只
蠢喵 蠢猫
T T恤衫|踢
TNND 他奶奶的
家店 家电
Q qq
粗来 出来
鸣人 名人
临晨 凌晨
P 屁
快滴 快点
劳资 老子
投 头
咋滴 怎么
磋人 挫人
驴友 旅友
眞 真
左 了
式式 式子|式样|试试
忽悠 欺骗
春 蠢
赖 尿
狠久 很久
麻麻 麻将|妈妈
银 人|任
BB 逼逼|宝贝
哈皮 快乐
赚 转
咋念 杂念
心塞 心酸
饭拍 翻拍
矮油 哎呦
高数 高等数学|高中数学
胆识 但是
东东 东西
赵 照
本攻 本宫
透过 通过
灰长 非常
零晨 凌晨
埃特 叫
尼玛 你妈
倾左 谈话
滴 点|的
森冤 伸冤
具 剧
咋地 怎么样
粑粑 粑粑|爸爸
戳 点击
满 嘛
青情 亲情
硪们 我们
童鞋 同学
睇 看
疼讯 腾讯
稀饭 喜欢
姆 没
流逼 牛逼
油墨 幽默
洗具 喜剧
桌纸 桌子
西 事|死
筒子 同志
思密达 亲爱的
贷 带
克 去
猪 祝
特么 他妈
带感 有感觉
翻 半
晒 完|了
装B 装逼
叫兽 教授
何适 合适
的 得
嗨皮 快乐
河蟹 和谐
老 了
朝3暮4 朝三暮四
嘶畸 世纪
反毁 反悔
测划 规划
大虾 大侠
盆友们 朋友们
晨早 早晨
著 着
木用 没用
握 我
跳紧 跳进
童谢 同学
属 数
哈 很|都
MM 妹妹|美眉
狠 很
艾特 叫
屎 是|死
小纸 小子
被 呗
造口 张口
伤心欲嚼 伤心欲绝
PK 比赛
盆 盘
次 吃
酱紫 这样子
LP 老婆
不3不4 不三不四
萌 可爱
咩 什么
扣扣群 QQ群
可耐 可爱
偶们 我们
眼训 睡觉
不可思意 不可思议
MM 美眉
清补自禁 情不自禁
和 喝
贱银 贱人
本A 一本
排 牌
淫才 人才
酒 就
爪机 手机
米有 没有
变形精钢 变形金刚
NB 牛逼
NC 脑残
RMB 人民币
跟住 接着
虾米 什么
肚纸 肚子
落 下
西里哗啦 稀里哗啦
爱疯 iPhone
夥伴 伙伴
草泥马 操你妈
本 日本
微博第 微博帝
实试题 测试题
酒架 酒驾
特码 他妈
增 长
妈蛋 妈的
肥 大|回
纷 分
领居 邻居
扬V耀5 扬威耀武
個 个
先黎 才
LG 老公
毛 什么
比 被|给
捏 呢
性息 信息
泥马 泥巴
听 挺
窝 我
叫往 叫唤
HK 香港
丢3落4 丢三落四
可趁 磕碜
设计西 设计师
唔错 不错|无错
吾 不
杯 悲
塞塞 酸酸|塞子
偶 我|oh
撕分 扣分
打救 搭救
胜 很
心霖 心情
抽轰 抽风|拉风
同 和
女盆友 女朋友
负出 付出
绿 女|驴
MM们 美眉们
BAIDU 百度
为毛 为什么
薪筹 薪酬
白 不要
爱 我|哎
基友 同性朋友|好友
静修 进修
灵醒 清醒
美偶 美国偶像
表 不要
研究僧 研究生
里 那|你
做 坐
报表 爆表
腻歪 恶心
杂 怎么
麻痹 妈逼
迩 你
厚 后
桑 伤
辍澡 搓澡
附 敷
总知 总之
P图 处理图片
挑3拣4 挑三拣四
书适 舒适
赶脚 感觉
各应 讨厌
埃 把
HIGH点 兴奋点
许 些
敲门 窍门
那莫 那么
迈 吗
彩 惨
一毛一样 一模一样
水 睡
菊部 局部
乐 了
咖里 咖喱
惹 了
孩纸们 孩子们
湖北淫 湖北人
老纸 老子
晚修 晚自习
房不剩防 防不胜防
之事 知事
返 还
发炎 发言
神骂 什么
主银 主任
操 超
小滋 小资
八错 不错
丫 呀|你
悟 不
特么的 他妈的
痴线 痴情
男盆友 男朋友
猿粪 缘分
积蓄 继续
我萌 我们
辣么 那么
神么 什么
神马 什么
G铁 高铁
肥家 回家
叻 了
果酱 过奖
即管 尽管
号 好
碎觉 睡觉
牛浪 流浪
拜脱 拜托
三 伤
妹纸们 妹子们
阿 啊
为咩 为什么
童鞋们 同学们
望住 望着
话 画|回
TM 他妈
围脖 微博
仲 就要
TMD 他妈的
V5 威武
鸡肉 肌肉
RP 肉脯|人品|软片
有滴 有点
不找边际 不着边际
烦抽 烦死
学八 学霸
介样 这样
笔笔 周笔畅
忒 太
粗发 出发
兔纸 兔子
N久 很久
乃们 你们
扇仔 扇子
自各 自己
小D 小弟
干净 赶紧
瓜纸 瓜子
仓 疮
洋像 洋相
